athlete_id,first_name,last_name,full_name,display_name,weight,height,position_abbreviation,defensive_passes_defended,defensive_sacks,defensive_solo_tackles,defensive_total_tackles,defensive_interceptions_interceptions
4384583,Justin,Toler,Justin Toler,Justin Toler,175,70,DB,1,0,9,10,0
4384717,Jared,Duncan,Jared Duncan,Jared Duncan,200,74,DB,0,0,5,8,0
4384774,Level,Price Jr.,Level Price Jr.,Level Price Jr.,194,68,S,3,1,24,36,0
4385487,Robert,Rhem,Robert Rhem,Robert Rhem,185,70,DB,3,0,9,19,0
4389468,Major,Dailey,Major Dailey,Major Dailey,170,71,DB,1,0,3,5,1
4394563,Eric,Smith,Eric Smith,Eric Smith,177,70,DB,6,0,22,25,3
4426363,Julian,Barnett,Julian Barnett,Julian Barnett,190,74,DB,2,0,17,24,0
4426379,Marquez,Beason,Marquez Beason,Marquez Beason,185,71,CB,2,0,2,3,1
4426390,Sheridan,Jones,Sheridan Jones,Sheridan Jones,190,72,CB,1,0,15,23,1
4426427,Raymond,Woodie III,Raymond Woodie III,Raymond Woodie III,200,72,DB,0,0,4,4,0
4426435,Jaden,Davis,Jaden Davis,Jaden Davis,182,70,CB,4,1,28,36,0
4426438,Isaiah,Hazel,Isaiah Hazel,Isaiah Hazel,205,73,DB,0,0,17,45,0
4426448,Jarrian,Jones,Jarrian Jones,Jarrian Jones,191,72,CB,3,1,16,25,3
4426453,Briton,Allen,Briton Allen,Briton Allen,190,72,S,0,0,4,6,0
4426464,K.J.,Wallace,K.J. Wallace,K.J. Wallace,186,71,DB,7,1,24,39,1
4426466,Cam'Ron,Kelly,Cam'Ron Kelly,Cam'Ron Kelly,210,74,DB,2,0,31,69,2
4426492,Noa,Pola-Gates,Noa Pola-Gates,Noa Pola-Gates,180,72,S,2,0,15,27,0
4426508,Shilo,Sanders,Shilo Sanders,Shilo Sanders,195,72,S,3,0,54,67,1
4426513,Trikweze,Bridges,Trikweze Bridges,Trikweze Bridges,198,75,DB,2,0,7,16,0
4426517,Keenan,Garber,Keenan Garber,Keenan Garber,184,72,CB,4,0,20,21,1
4426538,Mark,Aitken,Mark Aitken,Mark Aitken,175,69,DB,1,0,31,40,1
4426579,Armauni,Archie,Armauni Archie,Armauni Archie,182,72,DB,1,0,11,12,0
4426580,Chike,Anigbogu,Chike Anigbogu,Chike Anigbogu,205,70,S,0,2,18,25,0
4426586,Akili,Arnold,Akili Arnold,Akili Arnold,200,71,DB,6,0.5,25,62,2
4426597,Coco,Azema,Coco Azema,Coco Azema,205,71,DB,1,0,28,47,1
4426608,Keevan,Bailey,Keevan Bailey,Keevan Bailey,180,71,CB,6,0,13,23,1
4426617,Ton'Quez,Ball,Ton'Quez Ball,Ton'Quez Ball,205,70,DB,4,0,5,6,0
4426636,Marcus,Barnes,Marcus Barnes,Marcus Barnes,185,75,S,2,0,26,51,1
4426653,Kyrin,Beachem,Kyrin Beachem,Kyrin Beachem,205,71,DB,9,0,17,23,2
4426679,Demaurez,Bellamy,Demaurez Bellamy,Demaurez Bellamy,209,70,LB,1,0,7,10,0
