Player,Pos.,2023 Team,2024 Team,Type,Snaps,Age,Current APY,Guarantees
J.J. Jansen,LS,Panthers,,UFA,31.20%,38,"$1,317,500 ","$552,500 "
Rodney McLeod,S,Browns,,UFA,26.40%,34,"$1,317,500 ","$852,500 "
Aaron Brewer,LS,Cardinals,,UFA,24.40%,34,"$1,317,500 ",$0 
Jimmy Graham,TE,Saints,,UFA,14.80%,38,"$1,317,500 ","$152,500 "
Shaq Lawson,EDGE,Bills,,UFA,29.90%,30,"$1,317,500 ","$452,500 "
Kamu Grugier-Hill,LB,Panthers,,UFA,38.20%,30,"$1,317,500 ","$152,500 "
David Mayo,LB,Commanders,,UFA,30.00%,31,"$1,317,500 ","$152,500 "
Kendall Lamm,RT,Dolphins,,UFA,55.80%,32,"$1,317,500 ","$200,000 "
Latavius Murray,RB,Bills,,UFA,30.20%,34,"$1,317,500 ","$802,500 "
Johnathan Hankins,IDL,Cowboys,,UFA,32.80%,32,"$1,317,500 ","$1,092,500 "
John Jenkins,IDL,Raiders,,UFA,51.60%,35,"$1,317,500 ","$200,000 "
Michael Burton,FB,Broncos,,UFA,17.60%,32,"$1,317,500 ","$1,066,250 "
Blake Bell,TE,Chiefs,,UFA,22.20%,33,"$1,317,500 ",$0 
